NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 11 , 25 , 39 , 57 , 63 , 62 , 68 , 87 , 122 , 159 , 183 , 214 , 265 , 333 , 416 , 565 , 733 , 929 ," 1,050 "," 1,190 "," 1,362 "," 1,571 "," 1,740 "," 2,040 "," 2,384 "," 2,752 "," 3,233 "," 3,659 "," 4,045 "," 4,695 "," 5,066 "," 5,451 "," 5,208 "," 5,396 "," 5,943 "," 6,990 "," 8,055 "," 8,852 "," 9,185 "," 9,795 "," 10,709 "," 11,118 "," 12,179 "," 12,143 "," 12,510 "," 12,732 "," 13,544 "," 13,640 "," 14,447 "," 15,409 "," 15,303 "
Total Nursing Care Facilities and Continuing Care Retirement Communities, 811 , 841 , 876 ," 1,009 "," 1,168 "," 1,408 "," 1,732 "," 2,234 "," 2,851 "," 3,411 "," 4,034 "," 4,551 "," 5,227 "," 5,974 "," 6,928 "," 8,022 "," 9,057 "," 10,259 "," 11,845 "," 13,344 "," 15,270 "," 17,336 "," 19,478 "," 21,676 "," 23,713 "," 26,199 "," 28,642 "," 30,646 "," 34,225 "," 38,553 "," 44,745 "," 49,212 "," 52,848 "," 55,797 "," 58,385 "," 64,185 "," 69,235 "," 74,088 "," 79,106 "," 80,605 "," 85,045 "," 90,778 "," 94,500 "," 100,105 "," 105,086 "," 111,436 "," 115,929 "," 124,936 "," 130,458 "," 135,212 "," 140,488 "," 145,364 "," 147,370 "," 149,039 "," 152,398 "," 158,096 "," 162,685 "
     Out of pocket, 603 , 576 , 524 , 589 , 662 , 787 ," 1,041 "," 1,048 "," 1,467 "," 1,778 "," 1,984 "," 2,121 "," 2,476 "," 2,846 "," 2,866 "," 3,171 "," 3,708 "," 4,307 "," 4,902 "," 5,315 "," 6,191 "," 6,861 "," 8,094 "," 9,154 "," 9,831 "," 10,998 "," 11,914 "," 12,169 "," 13,976 "," 14,848 "," 18,010 "," 18,347 "," 18,477 "," 18,376 "," 17,653 "," 19,576 "," 19,320 "," 20,642 "," 24,923 "," 25,967 "," 27,127 "," 27,583 "," 27,900 "," 30,268 "," 31,180 "," 32,506 "," 33,580 "," 36,457 "," 37,451 "," 37,002 "," 37,504 "," 37,150 "," 39,154 "," 39,347 "," 39,563 "," 41,437 "," 43,778 "
     Health Insurance, -   , -   , -   , -   , -   , 9 , 225 , 852 , 990 ," 1,038 "," 1,151 "," 1,583 "," 2,336 "," 2,648 "," 3,520 "," 4,244 "," 4,669 "," 5,216 "," 6,079 "," 7,056 "," 7,918 "," 9,147 "," 9,791 "," 10,668 "," 11,814 "," 12,811 "," 14,053 "," 15,599 "," 16,802 "," 19,834 "," 21,913 "," 25,608 "," 28,686 "," 31,360 "," 35,206 "," 38,218 "," 43,449 "," 46,359 "," 47,789 "," 48,089 "," 52,044 "," 57,690 "," 60,949 "," 63,631 "," 67,430 "," 71,796 "," 74,727 "," 79,189 "," 84,603 "," 89,409 "," 93,373 "," 98,669 "," 97,682 "," 98,983 "," 101,651 "," 105,537 "," 107,333 "
          Private Health Insurance, -   , -   , -   , -   , -   , 1 , 2 , 3 , 5 , 7 , 9 , 12 , 17 , 23 , 28 , 38 , 54 , 74 , 103 , 136 , 192 , 260 , 374 , 517 , 682 , 938 ," 1,246 "," 1,570 "," 1,929 "," 2,176 "," 2,783 "," 2,970 "," 3,114 "," 3,213 "," 4,085 "," 5,482 "," 6,383 "," 6,705 "," 7,367 "," 7,720 "," 7,454 "," 7,727 "," 8,168 "," 7,447 "," 6,745 "," 7,139 "," 7,989 "," 8,719 "," 9,309 "," 9,877 "," 10,726 "," 10,969 "," 11,583 "," 11,672 "," 12,232 "," 13,979 "," 14,809 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , 190 , 244 , 216 , 143 , 121 , 120 , 165 , 200 , 220 , 260 , 267 , 268 , 283 , 307 , 337 , 367 , 392 , 423 , 454 , 458 , 499 , 732 ," 2,503 "," 1,700 "," 1,962 "," 2,888 "," 3,963 "," 5,603 "," 6,690 "," 9,475 "," 11,234 "," 11,401 "," 9,460 "," 10,822 "," 13,338 "," 15,026 "," 15,773 "," 18,260 "," 20,537 "," 22,358 "," 24,839 "," 27,606 "," 30,141 "," 32,289 "," 35,763 "," 33,998 "," 34,734 "," 35,610 "," 37,040 "," 37,477 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 204 , 628 , 706 , 771 , 940 ," 1,367 "," 2,099 "," 2,338 "," 3,149 "," 3,810 "," 4,129 "," 4,646 "," 5,421 "," 6,327 "," 7,055 "," 8,138 "," 8,567 "," 9,204 "," 10,053 "," 10,695 "," 11,538 "," 12,656 "," 13,223 "," 14,229 "," 16,433 "," 19,563 "," 21,480 "," 22,838 "," 24,038 "," 24,516 "," 25,978 "," 26,803 "," 27,334 "," 29,129 "," 31,882 "," 34,572 "," 35,561 "," 37,872 "," 39,760 "," 41,341 "," 41,563 "," 42,341 "," 44,039 "," 45,483 "," 46,307 "," 47,622 "," 47,700 "," 48,076 "," 49,069 "," 49,521 "," 49,991 "
                          Federal  , -   , -   , -   , -   , -   , -   , 98 , 304 , 366 , 425 , 505 , 779 ," 1,140 "," 1,226 "," 1,775 "," 2,094 "," 2,448 "," 2,619 "," 3,007 "," 3,587 "," 3,984 "," 4,558 "," 4,776 "," 5,110 "," 5,547 "," 5,882 "," 6,371 "," 6,985 "," 7,410 "," 8,008 "," 9,247 "," 10,866 "," 12,239 "," 13,121 "," 13,515 "," 13,683 "," 14,596 "," 14,917 "," 15,230 "," 16,396 "," 18,526 "," 21,234 "," 21,568 "," 22,203 "," 23,047 "," 23,353 "," 23,445 "," 23,898 "," 25,852 "," 30,314 "," 31,397 "," 28,975 "," 27,280 "," 27,485 "," 28,106 "," 28,452 "," 28,778 "
                          State and Local, -   , -   , -   , -   , -   , -   , 105 , 324 , 340 , 346 , 436 , 588 , 959 ," 1,112 "," 1,374 "," 1,716 "," 1,681 "," 2,026 "," 2,414 "," 2,740 "," 3,071 "," 3,580 "," 3,791 "," 4,094 "," 4,507 "," 4,813 "," 5,167 "," 5,670 "," 5,813 "," 6,221 "," 7,186 "," 8,697 "," 9,241 "," 9,717 "," 10,522 "," 10,833 "," 11,382 "," 11,886 "," 12,104 "," 12,733 "," 13,357 "," 13,338 "," 13,994 "," 15,669 "," 16,713 "," 17,987 "," 18,117 "," 18,443 "," 18,187 "," 15,169 "," 14,910 "," 18,646 "," 20,419 "," 20,591 "," 20,962 "," 21,069 "," 21,213 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 14 , 9 , 5 , 5 , 3 , 4 , 4 , 5 , 2 , 5 , 4 , 5 , 7 , 8 , 11 , 9 , 11 , 14 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 10 , 7 , 4 , 4 , 2 , 3 , 3 , 3 , 1 , 3 , 3 , 4 , 5 , 5 , 7 , 6 , 8 , 13 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 2 , 2 , 2 , 3 , 3 , 2 , 1 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , 7 , 19 , 31 , 36 , 44 , 59 , 84 , 100 , 122 , 142 , 176 , 227 , 228 , 287 , 310 , 364 , 412 , 483 , 554 , 656 , 724 , 811 , 874 , 918 , 926 , 997 ," 1,114 "," 1,204 "," 1,346 "," 1,481 "," 1,531 "," 1,613 "," 1,616 "," 1,684 "," 1,766 "," 1,877 "," 2,048 "," 2,189 "," 2,536 "," 2,661 "," 2,775 "," 2,813 "," 3,288 "," 3,645 "," 3,903 "," 4,046 "," 4,307 "," 4,395 "," 4,491 "," 4,731 "," 4,985 "," 5,042 "
     Other Third Party Payers and Programs, 207 , 264 , 351 , 420 , 506 , 613 , 467 , 334 , 394 , 595 , 898 , 847 , 416 , 481 , 542 , 607 , 680 , 737 , 864 , 973 ," 1,161 "," 1,328 "," 1,593 "," 1,854 "," 2,068 "," 2,390 "," 2,675 "," 2,879 "," 3,446 "," 3,872 "," 4,823 "," 5,257 "," 5,685 "," 6,062 "," 5,526 "," 6,392 "," 6,467 "," 7,088 "," 6,393 "," 6,549 "," 5,874 "," 5,505 "," 5,652 "," 6,206 "," 6,476 "," 7,133 "," 7,622 "," 9,290 "," 8,403 "," 8,802 "," 9,611 "," 9,545 "," 10,534 "," 10,709 "," 11,185 "," 11,122 "," 11,574 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 49 , 50 , 52 , 59 , 68 , 75 , 89 , 107 , 132 , 154 , 182 , 205 , 238 , 280 , 312 , 354 , 395 , 412 , 495 , 567 , 699 , 821 ," 1,027 "," 1,236 "," 1,415 "," 1,693 "," 1,859 "," 1,972 "," 2,427 "," 2,764 "," 3,593 "," 3,923 "," 4,234 "," 4,549 "," 3,890 "," 4,692 "," 4,748 "," 4,964 "," 4,607 "," 4,701 "," 4,284 "," 3,828 "," 3,794 "," 4,145 "," 4,245 "," 4,815 "," 5,034 "," 6,488 "," 5,625 "," 5,867 "," 6,407 "," 6,315 "," 7,213 "," 7,388 "," 7,846 "," 7,773 "," 8,289 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, 4 , 4 , 4 , 3 , 4 , 4 , 6 , 12 , 12 , 16 , 17 , 17 , 19 , 19 , 20 , 10 , 11 , 14 , 14 , 15 , 22 , 20 , 20 , 24 , 21 , 22 , 25 , 29 , 35 , 48 , 67 , 60 , 66 , 78 , 114 , 99 , 109 , 114 , 139 , 143 , 148 , 155 , 148 , 193 , 261 , 310 , 363 , 433 , 335 , 338 , 344 , 330 , 406 , 437 , 477 , 465 , 403 
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 67 , 100 , 151 , 190 , 198 , 215 , 160 , 89 , 91 , 176 , 339 , 283 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 87 , 110 , 145 , 167 , 236 , 319 , 212 , 126 , 159 , 249 , 361 , 341 , 158 , 181 , 210 , 243 , 274 , 311 , 354 , 391 , 440 , 487 , 546 , 594 , 632 , 674 , 791 , 878 , 985 ," 1,060 "," 1,163 "," 1,274 "," 1,385 "," 1,435 "," 1,522 "," 1,601 "," 1,610 "," 2,010 "," 1,648 "," 1,705 "," 1,442 "," 1,523 "," 1,710 "," 1,868 "," 1,970 "," 2,009 "," 2,225 "," 2,369 "," 2,443 "," 2,597 "," 2,860 "," 2,900 "," 2,915 "," 2,884 "," 2,861 "," 2,884 "," 2,882 "
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 204 , 818 , 950 , 987 ," 1,083 "," 1,488 "," 2,219 "," 2,503 "," 3,349 "," 4,030 "," 4,389 "," 4,913 "," 5,689 "," 6,610 "," 7,362 "," 8,475 "," 8,934 "," 9,596 "," 10,476 "," 11,149 "," 11,996 "," 13,155 "," 13,955 "," 16,732 "," 18,133 "," 21,525 "," 24,368 "," 26,801 "," 29,641 "," 31,206 "," 35,453 "," 38,037 "," 38,739 "," 38,603 "," 42,713 "," 47,915 "," 50,592 "," 53,648 "," 58,024 "," 61,882 "," 63,926 "," 67,182 "," 71,650 "," 75,628 "," 78,601 "," 83,392 "," 81,706 "," 82,821 "," 84,688 "," 86,572 "," 87,482 "
"Total Other Health, Residential, and Personal Care Expenditures", 438 , 505 , 538 , 590 , 650 , 709 , 811 , 921 ," 1,074 "," 1,222 "," 1,299 "," 1,388 "," 1,676 "," 1,975 "," 2,358 "," 2,869 "," 3,536 "," 4,461 "," 5,466 "," 6,724 "," 8,394 "," 9,413 "," 10,764 "," 12,107 "," 13,101 "," 14,499 "," 15,666 "," 16,798 "," 18,779 "," 21,402 "," 23,835 "," 27,365 "," 29,607 "," 33,578 "," 37,458 "," 41,496 "," 46,048 "," 50,008 "," 55,628 "," 59,182 "," 63,945 "," 69,964 "," 76,711 "," 82,509 "," 89,345 "," 95,043 "," 101,082 "," 108,335 "," 114,526 "," 123,354 "," 129,066 "," 131,650 "," 139,103 "," 144,226 "," 151,561 "," 164,767 "," 173,486 "
     Out of pocket, 52 , 56 , 59 , 63 , 71 , 76 , 78 , 85 , 97 , 111 , 122 , 133 , 143 , 159 , 180 , 165 , 181 , 191 , 209 , 238 , 270 , 356 , 515 , 579 , 664 , 768 , 790 , 792 , 901 ," 1,004 ", 917 , 884 , 829 , 938 ," 1,020 "," 1,070 "," 1,394 "," 1,665 "," 2,494 "," 2,676 "," 2,967 "," 3,298 "," 3,560 "," 3,932 "," 4,222 "," 4,529 "," 4,636 "," 4,658 "," 4,791 "," 5,080 "," 5,101 "," 5,111 "," 5,519 "," 5,981 "," 5,803 "," 6,317 "," 6,310 "
     Health Insurance, 84 , 89 , 98 , 106 , 119 , 131 , 161 , 204 , 271 , 336 , 341 , 326 , 431 , 595 , 774 ," 1,075 "," 1,432 "," 2,007 "," 2,656 "," 3,375 "," 4,320 "," 4,749 "," 5,411 "," 6,177 "," 6,546 "," 7,276 "," 8,082 "," 8,819 "," 9,864 "," 11,596 "," 13,221 "," 15,953 "," 17,668 "," 20,512 "," 23,337 "," 26,312 "," 29,199 "," 31,680 "," 33,569 "," 35,840 "," 38,626 "," 42,639 "," 47,671 "," 51,617 "," 56,640 "," 60,535 "," 64,813 "," 69,650 "," 73,266 "," 80,261 "," 85,098 "," 87,359 "," 92,606 "," 96,751 "," 101,840 "," 112,730 "," 119,227 "
          Private Health Insurance, 50 , 53 , 60 , 67 , 77 , 85 , 89 , 96 , 113 , 129 , 151 , 171 , 193 , 218 , 247 , 264 , 310 , 360 , 415 , 487 , 571 , 692 , 816 , 908 , 986 ," 1,084 "," 1,156 "," 1,234 "," 1,425 "," 1,592 "," 1,737 "," 1,899 "," 2,045 "," 2,310 "," 2,596 "," 2,755 "," 3,110 "," 3,399 "," 3,651 "," 3,740 "," 3,869 "," 4,040 "," 4,517 "," 4,994 "," 5,877 "," 6,270 "," 6,701 "," 7,240 "," 7,752 "," 8,359 "," 9,138 "," 10,254 "," 10,072 "," 10,152 "," 10,736 "," 12,444 "," 13,538 "
          Medicare, -   , -   , -   , -   , -   , -   , 4 , 11 , 14 , 16 , 18 , 21 , 25 , 29 , 38 , 48 , 57 , 70 , 89 , 110 , 131 , 153 , 201 , 261 , 302 , 342 , 411 , 481 , 489 , 635 , 762 , 932 ," 1,109 "," 1,279 "," 1,440 "," 1,568 "," 1,660 "," 1,713 "," 1,693 "," 1,655 "," 1,783 "," 2,044 "," 2,368 "," 2,680 "," 3,042 "," 3,509 "," 3,711 "," 3,930 "," 4,226 "," 4,577 "," 4,776 "," 4,948 "," 5,089 "," 5,143 "," 5,189 "," 5,051 "," 4,944 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 18 , 35 , 72 , 124 , 135 , 106 , 180 , 312 , 445 , 711 ," 1,000 "," 1,529 "," 2,084 "," 2,709 "," 3,536 "," 3,809 "," 4,259 "," 4,811 "," 5,104 "," 5,721 "," 6,377 "," 6,968 "," 7,814 "," 9,229 "," 10,567 "," 12,947 "," 14,344 "," 16,727 "," 19,108 "," 21,784 "," 24,186 "," 26,333 "," 27,917 "," 30,080 "," 32,492 "," 36,037 "," 40,193 "," 43,255 "," 46,823 "," 49,851 "," 53,287 "," 57,386 "," 59,981 "," 65,706 "," 69,609 "," 70,579 "," 75,665 "," 79,581 "," 83,971 "," 93,037 "," 98,379 "
                          Federal  , -   , -   , -   , -   , -   , -   , 8 , 15 , 36 , 67 , 71 , 61 , 91 , 165 , 247 , 395 , 597 , 869 ," 1,181 "," 1,533 "," 1,936 "," 2,094 "," 2,350 "," 2,664 "," 2,817 "," 3,159 "," 3,558 "," 3,896 "," 4,440 "," 5,260 "," 6,029 "," 7,268 "," 8,277 "," 9,758 "," 10,917 "," 12,385 "," 13,973 "," 14,920 "," 15,786 "," 17,031 "," 18,453 "," 20,488 "," 22,779 "," 25,491 "," 27,291 "," 28,281 "," 30,070 "," 32,407 "," 35,265 "," 43,684 "," 46,754 "," 42,425 "," 42,892 "," 45,187 "," 47,834 "," 53,281 "," 56,455 "
                          State and Local, -   , -   , -   , -   , -   , -   , 10 , 20 , 35 , 57 , 64 , 45 , 89 , 146 , 198 , 316 , 403 , 660 , 904 ," 1,176 "," 1,599 "," 1,715 "," 1,909 "," 2,147 "," 2,287 "," 2,561 "," 2,818 "," 3,072 "," 3,374 "," 3,969 "," 4,537 "," 5,679 "," 6,066 "," 6,969 "," 8,191 "," 9,400 "," 10,213 "," 11,413 "," 12,131 "," 13,049 "," 14,039 "," 15,548 "," 17,414 "," 17,763 "," 19,532 "," 21,570 "," 23,217 "," 24,978 "," 24,716 "," 22,022 "," 22,855 "," 28,153 "," 32,773 "," 34,394 "," 36,137 "," 39,756 "," 41,924 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , 120 , 218 , 234 , 293 , 281 , 430 , 417 , 605 , 583 , 680 , 949 , 749 , 754 , 861 , 953 , 996 ," 1,242 "," 1,398 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 34 , 86 , 153 , 166 , 207 , 200 , 294 , 287 , 416 , 407 , 490 , 707 , 544 , 545 , 611 , 670 , 697 , 943 ," 1,263 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 , 34 , 65 , 68 , 85 , 81 , 136 , 130 , 188 , 176 , 190 , 242 , 205 , 209 , 250 , 283 , 299 , 299 , 136 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, 34 , 36 , 37 , 39 , 42 , 47 , 50 , 61 , 73 , 67 , 38 , 28 , 34 , 37 , 44 , 52 , 65 , 49 , 67 , 69 , 82 , 95 , 135 , 198 , 154 , 129 , 137 , 137 , 136 , 139 , 155 , 176 , 171 , 197 , 193 , 205 , 243 , 235 , 258 , 245 , 264 , 283 , 300 , 408 , 468 , 487 , 510 , 511 , 627 , 670 , 826 , 824 , 919 , 921 , 948 , 957 , 968 
     Other Third Party Payers and Programs, 301 , 359 , 382 , 420 , 461 , 501 , 572 , 632 , 706 , 776 , 836 , 929 ," 1,101 "," 1,221 "," 1,403 "," 1,629 "," 1,923 "," 2,263 "," 2,602 "," 3,111 "," 3,804 "," 4,308 "," 4,837 "," 5,350 "," 5,892 "," 6,455 "," 6,794 "," 7,186 "," 8,014 "," 8,802 "," 9,697 "," 10,528 "," 11,110 "," 12,128 "," 13,101 "," 14,115 "," 15,455 "," 16,664 "," 19,565 "," 20,666 "," 22,352 "," 24,027 "," 25,479 "," 26,960 "," 28,483 "," 29,978 "," 31,633 "," 34,028 "," 36,469 "," 38,013 "," 38,867 "," 39,180 "," 40,978 "," 41,494 "," 43,918 "," 45,720 "," 47,950 "
         Worksite Health Care, 62 , 66 , 71 , 78 , 87 , 97 , 110 , 128 , 147 , 171 , 196 , 217 , 246 , 281 , 327 , 373 , 448 , 530 , 617 , 719 , 826 , 953 ," 1,041 "," 1,156 "," 1,306 "," 1,393 "," 1,522 "," 1,685 "," 1,867 "," 2,035 "," 2,228 "," 2,343 "," 2,484 "," 2,610 "," 2,731 "," 2,863 "," 2,975 "," 3,112 "," 3,220 "," 3,323 "," 3,518 "," 3,655 "," 3,775 "," 3,925 "," 4,102 "," 4,282 "," 4,388 "," 4,543 "," 4,540 "," 4,569 "," 4,702 "," 4,894 "," 5,163 "," 5,357 "," 5,689 "," 6,153 "," 6,742 "
         Other Private Revenues, 14 , 15 , 16 , 18 , 21 , 25 , 23 , 29 , 37 , 45 , 53 , 60 , 69 , 80 , 92 , 45 , 60 , 79 , 90 , 140 , 189 , 340 , 615 , 727 , 863 ," 1,019 "," 1,043 "," 1,021 "," 1,211 "," 1,423 "," 1,285 "," 1,213 "," 1,166 "," 1,394 "," 1,572 "," 1,718 "," 2,337 "," 2,841 "," 4,282 "," 4,387 "," 4,636 "," 4,662 "," 4,841 "," 5,005 "," 5,300 "," 5,988 "," 7,462 "," 9,047 "," 10,081 "," 10,346 "," 10,308 "," 9,954 "," 11,815 "," 12,031 "," 12,921 "," 14,249 "," 15,676 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12 , 14 , 21 , 33 , 36 , 42 , 47 , 42 , 47 , 60 , 63 , 61 , 66 , 62 , 68 , 108 , 134 , 164 , 176 , 184 , 202 , 196 , 204 , 199 , 202 , 219 , 257 , 255 , 272 , 285 , 284 , 293 , 299 , 329 , 363 , 398 , 401 , 407 , 396 , 403 , 408 , 440 
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
